tra_v_genes	tra_j_genes	trb_v_genes	trb_j_genes	trb_c_genes	VAC	Fill	proportion
TRAV4	TRAJ47	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB455	0.001338091
TRAV12-2	TRAJ22	TRBV9	TRBJ1-4	TRBC1	PSTV	AB456	0.001338091
TRAV41	TRAJ33	TRBV18	TRBJ2-7	TRBC2	PSTV	AB457	0.001338091
TRAV2	TRAJ28	TRBV4-2	TRBJ2-7	TRBC2	PSTV	AB458	0.001338091
TRAV_NA	TRAJ_NA	TRBV6-2	TRBJ2-7	TRBC2	PSTV	AB459	0.001338091
TRAV19	TRAJ8	TRBV27	TRBJ1-1	TRBC1	PSTV	AB460	0.001338091
TRAV38-1	TRAJ50	TRBV19	TRBJ2-2	TRBC2	PSTV	AB461	0.001338091
TRAV14/DV4	TRAJ45	TRBV5-6	TRBJ2-7	TRBC2	PSTV	AB462	0.000892061
TRAV35	TRAJ31	TRBV11-3	TRBJ2-2	TRBC2	PSTV	AB463	0.000892061
TRAV8-6	TRAJ17	TRBV20-1	TRBJ1-5	TRBC1	PSTV	AB464	0.000892061
TRAV1-2/AV14/DV4	TRAJ33/AJ6	TRBV6-4	TRBJ2-3	TRBC2	PSTV	AB465	0.000892061
TRAV4	TRAJ20	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB466	0.000892061
TRAV8-6	TRAJ17	TRBV20-1	TRBJ1-5	TRBC1	PSTV	AB467	0.000892061
TRAV8-6	TRAJ17	TRBV20-1	TRBJ1-5	TRBC1	PSTV	AB468	0.000892061
TRAV26-1	TRAJ26	TRBV30	TRBJ2-2	TRBC2	PSTV	AB469	0.000892061
TRAV38-1	TRAJ49	TRBV4-1	TRBJ2-5	TRBC2	PSTV	AB470	0.000892061
TRAV3	TRAJ20	TRBV6-5	TRBJ2-5	TRBC2	PSTV	AB471	0.000892061
TRAV8-1/AV19	TRAJ47/AJ26	TRBV5-1	TRBJ2-1	TRBC2	PSTV	AB472	0.000892061
TRAV12-2	TRAJ49	TRBV27	TRBJ1-1	TRBC1	PSTV	AB473	0.000892061
TRAV29/DV5	TRAJ21	TRBV30	TRBJ2-3	TRBC2	PSTV	AB474	0.000892061
TRAV1-2	TRAJ33	TRBV6-5	TRBJ2-7	TRBC2	PSTV	AB475	0.000892061
TRAV13-1	TRAJ7	TRBV6-2	TRBJ2-5	TRBC2	PSTV	AB476	0.000892061
TRAV13-2	TRAJ26	TRBV6-2	TRBJ2-3	TRBC2	PSTV	AB477	0.000892061
TRAV13-1	TRAJ33	TRBV6-2	TRBJ1-2	TRBC1	PSTV	AB478	0.000892061
TRAV13-2	TRAJ52	TRBV5-6	TRBJ2-7	TRBC2	PSTV	AB479	0.000892061
TRAV26-1	TRAJ43	TRBV20-1	TRBJ1-3	TRBC1	PSTV	AB480	0.000892061
TRAV1-2	TRAJ13	TRBV6-2	TRBJ1-5	TRBC1	PSTV	AB481	0.000892061
TRAV3	TRAJ30	TRBV27	TRBJ2-3	TRBC2	PSTV	AB482	0.000892061
TRAV17/AV41	TRAJ42/AJ34	TRBV7-2	TRBJ1-1	TRBC1	PSTV	AB483	0.000892061
TRAV10	TRAJ45	TRBV7-2	TRBJ1-1	TRBC1	PSTV	AB484	0.000892061
TRAV13-1	TRAJ6	TRBV25-1	TRBJ2-1	TRBC2	PSTV	AB485	0.000892061
TRAV23/DV6	TRAJ18	TRBV18	TRBJ2-3	TRBC2	PSTV	AB486	0.000892061
TRAV3	TRAJ13	TRBV27	TRBJ2-3	TRBC2	PSTV	AB487	0.000892061
TRAV4	TRAJ5	TRBV14	TRBJ2-1	TRBC2	PSTV	AB488	0.000892061
TRAV3	TRAJ34	TRBV7-7	TRBJ1-1	TRBC1	PSTV	AB489	0.000892061
TRAV_NA	TRAJ_NA	TRBV3-1	TRBJ1-5	TRBC1	PSTV	AB490	0.00044603
TRAV21	TRAJ44	TRBV29-1	TRBJ2-7	TRBC2	PSTV	AB491	0.00044603
TRAV38-1	TRAJ34	TRBV20-1	TRBJ2-5	TRBC2	PSTV	AB492	0.00044603
TRAV25	TRAJ24	TRBV27	TRBJ2-7	TRBC2	PSTV	AB493	0.00044603
TRAV38-1	TRAJ40	TRBV6-2	TRBJ1-1	TRBC1	PSTV	AB494	0.00044603
TRAV1-2	TRAJ33	TRBV6-1	TRBJ2-2	TRBC2	PSTV	AB495	0.00044603
TRAV4/AV4	TRAJ9/AJ17	TRBV27	TRBJ2-7	TRBC2	PSTV	AB496	0.00044603
TRAV16/AV17	TRAJ29/AJ26	TRBV7-8	TRBJ2-2	TRBC2	PSTV	AB497	0.00044603
TRAV39	TRAJ34	TRBV4-2	TRBJ2-1	TRBC2	PSTV	AB498	0.00044603
TRAV14/DV4	TRAJ57	TRBV18	TRBJ1-1	TRBC1	PSTV	AB499	0.00044603
TRAV29/DV5	TRAJ8	TRBV28/BV9	TRBJ2-7/BJ2-1	TRBC2/BC2	PSTV	AB500	0.00044603
TRAV1-2	TRAJ33	TRBV6-2	TRBJ2-3	TRBC2	PSTV	AB501	0.00044603
TRAV3	TRAJ23	TRBV10-2	TRBJ2-7	TRBC2	PSTV	AB502	0.00044603
TRAV1-2/AV1-1	TRAJ8/AJ24	TRBV3-1	TRBJ1-2	TRBC1	PSTV	AB503	0.00044603
TRAV17	TRAJ27	TRBV7-8	TRBJ1-5	TRBC1	PSTV	AB504	0.00044603
TRAV6	TRAJ6	TRBV6-4	TRBJ1-2	TRBC1	PSTV	AB505	0.00044603
TRAV1-2	TRAJ33	TRBV_NA	TRBJ_NA	TRBC_NA	PSTV	AB506	0.00044603
TRAV14/DV4	TRAJ3	TRBV30	TRBJ2-7	TRBC2	PSTV	AB507	0.00044603
TRAV_NA	TRAJ_NA	TRBV29-1	TRBJ2-7	TRBC2	PSTV	AB508	0.00044603
TRAV_NA	TRAJ_NA	TRBV20-1	TRBJ1-1	TRBC1	PSTV	AB509	0.00044603
TRAV1-2	TRAJ33	TRBV20-1	TRBJ1-1	TRBC1	PSTV	AB510	0.00044603
TRAV8-6	TRAJ17	TRBV20-1	TRBJ1-5	TRBC1	PSTV	AB511	0.00044603
TRAV_NA	TRAJ_NA	TRBV6-2	TRBJ2-4	TRBC2	PSTV	AB512	0.00044603
TRAV_NA	TRAJ_NA	TRBV6-2	TRBJ2-7	TRBC2	PSTV	AB513	0.00044603
TRAV26-1	TRAJ28	TRBV_NA	TRBJ_NA	TRBC_NA	PSTV	AB514	0.00044603
TRAV_NA	TRAJ_NA	TRBV30	TRBJ2-7	TRBC2	PSTV	AB515	0.00044603
TRAV_NA	TRAJ_NA	TRBV20-1	TRBJ2-1	TRBC2	PSTV	AB516	0.00044603
TRAV27	TRAJ39	TRBV_NA	TRBJ_NA	TRBC_NA	PSTV	AB517	0.00044603
TRAV1-2	TRAJ39	TRBV_NA	TRBJ_NA	TRBC_NA	PSTV	AB518	0.00044603
TRAV26-1	TRAJ21	TRBV20-1	TRBJ2-3	TRBC2	PSTV	AB519	0.00044603
TRAV1-2	TRAJ20	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB520	0.00044603
TRAV1-2	TRAJ33	TRBV20-1	TRBJ2-1	TRBC2	PSTV	AB521	0.00044603
TRAV1-2	TRAJ33	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB522	0.00044603
TRAV8-3	TRAJ9	TRBV30	TRBJ1-2	TRBC1	PSTV	AB523	0.00044603
TRAV5	TRAJ5	TRBV6-6	TRBJ2-5	TRBC2	PSTV	AB524	0.00044603
TRAV8-6	TRAJ40	TRBV20-1	TRBJ2-5	TRBC2	PSTV	AB525	0.00044603
TRAV12-3	TRAJ53	TRBV28	TRBJ2-7	TRBC2	PSTV	AB526	0.00044603
TRAV14/DV4	TRAJ11	TRBV30	TRBJ2-4	TRBC2	PSTV	AB527	0.00044603
TRAV19	TRAJ40	TRBV28	TRBJ1-2	TRBC1	PSTV	AB528	0.00044603
TRAV_NA	TRAJ_NA	TRBV20-1	TRBJ2-2	TRBC2	PSTV	AB529	0.00044603
TRAV_NA	TRAJ_NA	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB530	0.00044603
TRAV_NA	TRAJ_NA	TRBV10-3	TRBJ2-7	TRBC2	PSTV	AB531	0.00044603
TRAV_NA	TRAJ_NA	TRBV11-2	TRBJ2-1	TRBC2	PSTV	AB532	0.00044603
TRAV1-2	TRAJ33	TRBV20-1	TRBJ2-5	TRBC2	PSTV	AB533	0.00044603
TRAV4	TRAJ45	TRBV30	TRBJ2-7	TRBC2	PSTV	AB534	0.00044603
TRAV1-2/AV4	TRAJ34/AJ3	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB535	0.00044603
TRAV26-1	TRAJ48	TRBV20-1	TRBJ2-1	TRBC2	PSTV	AB536	0.00044603
TRAV39	TRAJ9	TRBV25-1	TRBJ1-4	TRBC1	PSTV	AB537	0.00044603
TRAV13-1	TRAJ47	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB538	0.00044603
TRAV5	TRAJ8	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB539	0.00044603
TRAV9-2	TRAJ53	TRBV5-6	TRBJ2-7	TRBC2	PSTV	AB540	0.00044603
TRAV27	TRAJ50	TRBV4-1/BV4-3	TRBJ2-5/BJ2-5	TRBC2/BC2	PSTV	AB541	0.00044603
TRAV8-1	TRAJ33	TRBV6-2	TRBJ1-2	TRBC1	PSTV	AB542	0.00044603
TRAV27/AV8-1	TRAJ41/AJ48	TRBV2	TRBJ1-6	TRBC1	PSTV	AB543	0.00044603
TRAV8-6	TRAJ32	TRBV12-3	TRBJ2-7	TRBC2	PSTV	AB544	0.00044603
TRAV5	TRAJ33	TRBV15	TRBJ2-1	TRBC2	PSTV	AB545	0.00044603
TRAV36/DV7	TRAJ23	TRBV24-1	TRBJ2-7	TRBC2	PSTV	AB546	0.00044603
TRAV13-2	TRAJ10	TRBV9	TRBJ2-3	TRBC2	PSTV	AB547	0.00044603
TRAV5	TRAJ5	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB548	0.00044603
TRAV5	TRAJ34	TRBV27/BV7-9	TRBJ1-5/BJ2-7	TRBC1/BC2	PSTV	AB549	0.00044603
TRAV9-2	TRAJ4	TRBV5-4	TRBJ2-1	TRBC2	PSTV	AB550	0.00044603
TRAV5	TRAJ42	TRBV9	TRBJ2-1	TRBC2	PSTV	AB551	0.00044603
TRAV10	TRAJ18	TRBV10-3/BV25-1	TRBJ1-5/BJ2-7	TRBC1/BC2	PSTV	AB552	0.00044603
TRAV3	TRAJ18	TRBV19	TRBJ2-7	TRBC2	PSTV	AB553	0.00044603
TRAV19	TRAJ15	TRBV9	TRBJ1-2	TRBC1	PSTV	AB554	0.00044603
TRAV19	TRAJ18	TRBV5-1	TRBJ2-2	TRBC2	PSTV	AB555	0.00044603
TRAV29/DV5	TRAJ45	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB556	0.00044603
TRAV_NA	TRAJ_NA	TRBV5-1	TRBJ1-1	TRBC1	PSTV	AB557	0.00044603
TRAV1-2	TRAJ20	TRBV6-4	TRBJ2-3	TRBC2	PSTV	AB558	0.00044603
TRAV1-2	TRAJ33	TRBV6-4	TRBJ2-2	TRBC2	PSTV	AB559	0.00044603
TRAV1-2	TRAJ20	TRBV6-1	TRBJ2-7	TRBC2	PSTV	AB560	0.00044603
TRAV1-2	TRAJ12	TRBV6-2	TRBJ2-2	TRBC2	PSTV	AB561	0.00044603
TRAV1-2	TRAJ33	TRBV20-1	TRBJ1-6	TRBC1	PSTV	AB562	0.00044603
TRAV26-2	TRAJ43	TRBV5-1	TRBJ2-7	TRBC2	PSTV	AB563	0.00044603
TRAV9-2	TRAJ31	TRBV6-4	TRBJ1-1	TRBC1	PSTV	AB564	0.00044603
TRAV13-1	TRAJ24	TRBV6-5	TRBJ2-7	TRBC2	PSTV	AB565	0.00044603
TRAV1-1	TRAJ24	TRBV20-1	TRBJ2-1	TRBC2	PSTV	AB566	0.00044603
TRAV13-1	TRAJ7	TRBV7-9	TRBJ2-7	TRBC2	PSTV	AB567	0.00044603
TRAV13-1	TRAJ47	TRBV20-1	TRBJ2-7	TRBC2	PSTV	AB568	0.00044603
TRAV35	TRAJ42	TRBV6-2	TRBJ1-2	TRBC1	PSTV	AB569	0.00044603
TRAV8-3	TRAJ48	TRBV29-1	TRBJ2-3	TRBC2	PSTV	AB570	0.00044603
TRAV17	TRAJ17	TRBV4-3	TRBJ1-1	TRBC1	PSTV	AB571	0.00044603
TRAV14/DV4/AV12-1	TRAJ34/AJ45	TRBV6-5	TRBJ1-5	TRBC1	PSTV	AB572	0.00044603
TRAV29/DV5/AV3	TRAJ24/AJ33	TRBV4-3/BV24-1	TRBJ2-1/BJ1-5	TRBC2/BC1	PSTV	AB573	0.00044603
TRAV8-6	TRAJ57	TRBV6-2	TRBJ2-3	TRBC2	PSTV	AB574	0.00044603
TRAV13-2	TRAJ15	TRBV20-1	TRBJ2-4	TRBC2	PSTV	AB575	0.00044603
TRAV21	TRAJ45	TRBV27	TRBJ1-1	TRBC1	PSTV	AB576	0.00044603
TRAV17	TRAJ57	TRBV19	TRBJ2-4	TRBC2	PSTV	AB577	0.00044603
TRAV38-2/DV8	TRAJ40	TRBV20-1	TRBJ2-1	TRBC2	PSTV	AB578	0.00044603
TRAV19	TRAJ20	TRBV11-2	TRBJ2-7	TRBC2	PSTV	AB579	0.00044603
TRAV8-6	TRAJ17	TRBV19	TRBJ2-1	TRBC2	PSTV	AB580	0.00044603
TRAV38-1	TRAJ37	TRBV25-1	TRBJ1-4	TRBC1	PSTV	AB581	0.00044603
TRAV29/DV5	TRAJ39	TRBV20-1	TRBJ2-1	TRBC2	PSTV	AB582	0.00044603
TRAV5	TRAJ4	TRBV_NA	TRBJ_NA	TRBC_NA	PSTV	AB583	0.00044603
TRAV_NA	TRAJ_NA	TRBV7-3	TRBJ2-7	TRBC2	PSTV	AB584	0.00044603
TRAV_NA	TRAJ_NA	TRBV7-2	TRBJ1-1	TRBC1	PSTV	AB585	0.00044603
TRAV_NA	TRAJ_NA	TRBV7-6	TRBJ2-7	TRBC2	PSTV	AB586	0.00044603
TRAV_NA	TRAJ_NA	TRBV5-4	TRBJ1-5	TRBC1	PSTV	AB587	0.00044603
TRAV_NA	TRAJ_NA	TRBV12-4	TRBJ1-5	TRBC1	PSTV	AB588	0.00044603
TRAV1-2	TRAJ33	TRBV6-4	TRBJ2-1	TRBC2	PSTV	AB589	0.00044603
TRAV1-2	TRAJ12	TRBV6-4	TRBJ2-2	TRBC2	PSTV	AB590	0.00044603
TRAV13-2/AV1-2	TRAJ10/AJ33	TRBV6-4	TRBJ2-2	TRBC2	PSTV	AB591	0.00044603
TRAV1-2	TRAJ33	TRBV6-4	TRBJ2-2	TRBC2	PSTV	AB592	0.00044603
TRAV4	TRAJ33	TRBV6-5	TRBJ2-7	TRBC2	PSTV	AB593	0.00044603
TRAV1-2	TRAJ33	TRBV6-2	TRBJ1-5	TRBC1	PSTV	AB594	0.00044603
TRAV1-2	TRAJ33	TRBV6-2	TRBJ2-1	TRBC2	PSTV	AB595	0.00044603
TRAV1-2	TRAJ33	TRBV6-2	TRBJ2-2	TRBC2	PSTV	AB596	0.00044603
TRAV39/AV1-2	TRAJ33/AJ31	TRBV7-9	TRBJ1-3	TRBC1	PSTV	AB597	0.00044603
TRAV1-2	TRAJ33	TRBV4-3	TRBJ2-7	TRBC2	PSTV	AB598	0.00044603
TRAV1-1	TRAJ13	TRBV6-6	TRBJ2-3	TRBC2	PSTV	AB599	0.00044603
TRAV13-1	TRAJ15	TRBV6-5	TRBJ1-3	TRBC1	PSTV	AB600	0.00044603
TRAV1-2	TRAJ20	TRBV27	TRBJ2-2	TRBC2	PSTV	AB601	0.00044603
TRAV4	TRAJ35	TRBV10-1	TRBJ2-1	TRBC2	PSTV	AB602	0.00044603
TRAV12-1	TRAJ30	TRBV5-6	TRBJ2-1	TRBC2	PSTV	AB603	0.00044603
TRAV17	TRAJ43	TRBV5-1	TRBJ2-7	TRBC2	PSTV	AB604	0.00044603
TRAV27	TRAJ35	TRBV6-5	TRBJ2-5	TRBC2	PSTV	AB605	0.00044603
TRAV5	TRAJ26	TRBV20-1	TRBJ1-2	TRBC1	PSTV	AB606	0.00044603
TRAV1-2	TRAJ39	TRBV9	TRBJ1-2	TRBC1	PSTV	AB607	0.00044603
TRAV2/AV12-1	TRAJ20/AJ32	TRBV6-5	TRBJ2-1	TRBC2	PSTV	AB608	0.00044603
TRAV41	TRAJ34	TRBV6-2	TRBJ1-6	TRBC1	PSTV	AB609	0.00044603
TRAV17	TRAJ48	TRBV28	TRBJ1-5	TRBC1	PSTV	AB610	0.00044603
TRAV13-1	TRAJ40	TRBV27	TRBJ2-1	TRBC2	PSTV	AB611	0.00044603
TRAV41	TRAJ56	TRBV4-2	TRBJ1-3	TRBC1	PSTV	AB612	0.00044603
TRAV13-1	TRAJ26	TRBV12-4/BV19	TRBJ2-5/BJ1-1	TRBC2/BC1	PSTV	AB613	0.00044603
TRAV17	TRAJ56	TRBV19	TRBJ2-7	TRBC2	PSTV	AB614	0.00044603
TRAV8-2	TRAJ8	TRBV28	TRBJ2-7	TRBC2	PSTV	AB615	0.00044603
TRAV30	TRAJ15	TRBV7-9	TRBJ2-7	TRBC2	PSTV	AB616	0.00044603
TRAV13-1	TRAJ15	TRBV27	TRBJ2-7	TRBC2	PSTV	AB617	0.00044603
TRAV10	TRAJ43	TRBV12-3	TRBJ2-1	TRBC2	PSTV	AB618	0.00044603
TRAV3	TRAJ9	TRBV28	TRBJ1-5	TRBC1	PSTV	AB619	0.00044603
TRAV13-1	TRAJ57	TRBV7-2	TRBJ1-5	TRBC1	PSTV	AB620	0.00044603
TRAV5	TRAJ42	TRBV5-1	TRBJ2-7	TRBC2	PSTV	AB621	0.00044603
TRAV19	TRAJ16	TRBV6-5	TRBJ1-4	TRBC1	PSTV	AB622	0.00044603
TRAV12-1	TRAJ52	TRBV20-1	TRBJ2-5	TRBC2	PSTV	AB623	0.00044603
TRAV13-1/AV8-4	TRAJ52/AJ32	TRBV12-4/BV27	TRBJ1-5/BJ2-5	TRBC1/BC2	PSTV	AB624	0.00044603
TRAV13-1	TRAJ52	TRBV27	TRBJ2-5	TRBC2	PSTV	AB625	0.00044603
TRAV19/AV8-3	TRAJ4/AJ32	TRBV5-6	TRBJ2-3	TRBC2	PSTV	AB626	0.00044603
TRAV5	TRAJ4	TRBV4-1	TRBJ2-3	TRBC2	PSTV	AB627	0.00044603
TRAV38-1	TRAJ34	TRBV7-3	TRBJ1-2	TRBC1	PSTV	AB628	0.00044603
TRAV38-2/DV8	TRAJ42	TRBV6-1	TRBJ2-7	TRBC2	PSTV	AB629	0.00044603
TRAV14/DV4	TRAJ15	TRBV30	TRBJ2-5	TRBC2	PSTV	AB630	0.00044603
TRAV29/DV5	TRAJ45	TRBV25-1	TRBJ2-2	TRBC2	PSTV	AB631	0.00044603
TRAV29/DV5	TRAJ42	TRBV28	TRBJ2-7	TRBC2	PSTV	AB632	0.00044603
TRAV_NA	TRAJ_NA	TRBV25-1	TRBJ2-2	TRBC2	PSTV	AB633	0.00044603
TRAV_NA	TRAJ_NA	TRBV6-4	TRBJ1-5	TRBC1	PSTV	AB634	0.00044603
TRAV_NA	TRAJ_NA	TRBV6-4	TRBJ2-3	TRBC2	PSTV	AB635	0.00044603
TRAV_NA	TRAJ_NA	TRBV19	TRBJ1-4	TRBC1	PSTV	AB636	0.00044603
TRAV_NA	TRAJ_NA	TRBV19	TRBJ1-4	TRBC1	PSTV	AB637	0.00044603
TRAV_NA	TRAJ_NA	TRBV6-5	TRBJ2-1	TRBC2	PSTV	AB638	0.00044603
TRAV_NA	TRAJ_NA	TRBV6-5	TRBJ1-1	TRBC1	PSTV	AB639	0.00044603
TRAV_NA	TRAJ_NA	TRBV6-1	TRBJ2-7	TRBC2	PSTV	AB640	0.00044603
TRAV_NA	TRAJ_NA	TRBV6-2	TRBJ1-5	TRBC1	PSTV	AB641	0.00044603
TRAV_NA	TRAJ_NA	TRBV6-2	TRBJ1-5	TRBC1	PSTV	AB642	0.00044603
TRAV8-3	TRAJ13	TRBV_NA	TRBJ_NA	TRBC_NA	PSTV	AB643	0.00044603
TRAV_NA	TRAJ_NA	TRBV7-2	TRBJ1-2	TRBC1	PSTV	AB644	0.00044603
TRAV_NA	TRAJ_NA	TRBV5-5	TRBJ2-1	TRBC2	PSTV	AB645	0.00044603
TRAV_NA	TRAJ_NA	TRBV5-4	TRBJ2-3	TRBC2	PSTV	AB646	0.00044603
TRAV_NA	TRAJ_NA	TRBV4-2	TRBJ2-7	TRBC2	PSTV	AB647	0.00044603
TRAV_NA	TRAJ_NA	TRBV9	TRBJ2-1	TRBC2	PSTV	AB648	0.00044603
TRAV_NA	TRAJ_NA	TRBV9	TRBJ2-3	TRBC2	PSTV	AB649	0.00044603
TRAV_NA	TRAJ_NA	TRBV9	TRBJ2-7	TRBC2	PSTV	AB650	0.00044603
TRAV1-2	TRAJ33	TRBV6-4	TRBJ1-1	TRBC1	PSTV	AB651	0.00044603
TRAV1-2	TRAJ33	TRBV6-1	TRBJ2-3	TRBC2	PSTV	AB652	0.00044603
TRAV1-2	TRAJ33	TRBV6-1	TRBJ2-7	TRBC2	PSTV	AB653	0.00044603
TRAV1-2	TRAJ33	TRBV6-2	TRBJ2-5	TRBC2	PSTV	AB654	0.00044603
TRAV4	TRAJ21	TRBV12-3	TRBJ2-5	TRBC2	PSTV	AB655	0.00044603
TRAV2/AV1-2	TRAJ32/AJ33	TRBV10-1	TRBJ2-3	TRBC2	PSTV	AB656	0.00044603
TRAV1-2	TRAJ33	TRBV4-3	TRBJ2-2	TRBC2	PSTV	AB657	0.00044603
TRAV16/AV8-6	TRAJ33/AJ48	TRBV11-2	TRBJ1-6	TRBC1	PSTV	AB658	0.00044603
TRAV16/AV14/DV4	TRAJ30/AJ48	TRBV7-3/BV12-4	TRBJ2-2/BJ2-1	TRBC2/BC2	PSTV	AB659	0.00044603
TRAV1-1	TRAJ39	TRBV6-2	TRBJ2-5	TRBC2	PSTV	AB660	0.00044603
TRAV16	TRAJ22	TRBV12-4	TRBJ2-1	TRBC2	PSTV	AB661	0.00044603
TRAV21	TRAJ33	TRBV9	TRBJ2-1	TRBC2	PSTV	AB662	0.00044603
TRAV17	TRAJ30	TRBV7-6	TRBJ2-1	TRBC2	PSTV	AB663	0.00044603
TRAV2	TRAJ32	TRBV20-1	TRBJ1-1	TRBC1	PSTV	AB664	0.00044603
TRAV12-2	TRAJ34	TRBV24-1	TRBJ2-6	TRBC2	PSTV	AB665	0.00044603
TRAV8-4	TRAJ27	TRBV7-9	TRBJ2-5	TRBC2	PSTV	AB666	0.00044603
TRAV13-1	TRAJ48	TRBV7-9	TRBJ2-1	TRBC2	PSTV	AB667	0.00044603
TRAV13-1	TRAJ48	TRBV7-9	TRBJ2-1	TRBC2	PSTV	AB668	0.00044603
TRAV13-1	TRAJ35	TRBV5-4	TRBJ2-2	TRBC2	PSTV	AB669	0.00044603
TRAV35	TRAJ53	TRBV5-4	TRBJ2-7	TRBC2	PSTV	AB670	0.00044603
TRAV13-1	TRAJ10	TRBV4-1	TRBJ2-1	TRBC2	PSTV	AB671	0.00044603
TRAV20/AV3	TRAJ3/AJ8	TRBV4-1	TRBJ2-7	TRBC2	PSTV	AB672	0.00044603
TRAV13-1	TRAJ39	TRBV4-1	TRBJ2-2	TRBC2	PSTV	AB673	0.00044603
TRAV17	TRAJ57	TRBV9	TRBJ1-4	TRBC1	PSTV	AB674	0.00044603
TRAV35	TRAJ12	TRBV9	TRBJ2-2	TRBC2	PSTV	AB675	0.00044603
TRAV5	TRAJ37	TRBV9	TRBJ2-7	TRBC2	PSTV	AB676	0.00044603
TRAV9-2	TRAJ3	TRBV19	TRBJ1-6	TRBC1	PSTV	AB677	0.00044603
TRAV13-1	TRAJ38	TRBV6-2	TRBJ1-1	TRBC1	PSTV	AB678	0.00044603
TRAV8-3	TRAJ7	TRBV6-2	TRBJ1-1	TRBC1	PSTV	AB679	0.00044603
TRAV5	TRAJ33	TRBV7-9	TRBJ2-7	TRBC2	PSTV	AB680	0.00044603
TRAV38-1	TRAJ30	TRBV27	TRBJ2-7	TRBC2	PSTV	AB681	0.00044603
TRAV38-1	TRAJ21	TRBV19	TRBJ1-2	TRBC1	PSTV	AB682	0.00044603
TRAV9-2	TRAJ50	TRBV18	TRBJ2-1	TRBC2	PSTV	AB683	0.00044603
TRAV10	TRAJ45	TRBV2	TRBJ1-5	TRBC1	PSTV	AB684	0.00044603
TRAV13-1	TRAJ38	TRBV28	TRBJ1-6	TRBC1	PSTV	AB685	0.00044603
TRAV24	TRAJ16	TRBV10-3	TRBJ2-5	TRBC2	PSTV	AB686	0.00044603
TRAV3	TRAJ3	TRBV11-2	TRBJ2-7	TRBC2	PSTV	AB687	0.00044603
TRAV9-2	TRAJ42	TRBV7-6	TRBJ2-1	TRBC2	PSTV	AB688	0.00044603
TRAV8-4	TRAJ13	TRBV5-6	TRBJ1-5	TRBC_NA	PSTV	AB689	0.00044603
TRAV12-3	TRAJ27	TRBV6-6	TRBJ2-7	TRBC2	PSTV	AB690	0.00044603
TRAV17	TRAJ18	TRBV11-2	TRBJ2-7	TRBC2	PSTV	AB691	0.00044603
TRAV3	TRAJ6	TRBV11-2	TRBJ2-7	TRBC2	PSTV	AB692	0.00044603
TRAV9-2	TRAJ18	TRBV7-2	TRBJ2-3	TRBC2	PSTV	AB693	0.00044603
TRAV6/AV3	TRAJ38/AJ41	TRBV7-6	TRBJ2-7	TRBC2	PSTV	AB694	0.00044603
TRAV19	TRAJ26	TRBV5-1	TRBJ2-7	TRBC2	PSTV	AB695	0.00044603
TRAV19	TRAJ43	TRBV19	TRBJ2-2	TRBC2	PSTV	AB696	0.00044603
TRAV10	TRAJ11	TRBV6-6	TRBJ1-5	TRBC1	PSTV	AB697	0.00044603
TRAV19	TRAJ36	TRBV28	TRBJ1-6	TRBC1	PSTV	AB698	0.00044603
TRAV38-1	TRAJ40	TRBV5-4	TRBJ1-3	TRBC1	PSTV	AB699	0.00044603
TRAV38-1	TRAJ46	TRBV4-1	TRBJ2-7	TRBC2	PSTV	AB700	0.00044603
TRAV38-1	TRAJ44	TRBV6-2	TRBJ1-2	TRBC1	PSTV	AB701	0.00044603
TRAV19	TRAJ6	TRBV6-2	TRBJ2-3	TRBC2	PSTV	AB702	0.00044603
TRAV19	TRAJ24	TRBV6-5	TRBJ2-1	TRBC2	PSTV	AB703	0.00044603
TRAV29/DV5	TRAJ20	TRBV24-1	TRBJ2-1	TRBC2	PSTV	AB704	0.00044603
TRAV29/DV5	TRAJ54	TRBV6-5	TRBJ2-1	TRBC2	PSTV	AB705	0.00044603
TRAV23/DV6	TRAJ21	TRBV6-2	TRBJ2-7	TRBC2	PSTV	AB706	0.00044603
TRAV_NA	TRAJ_NA	TRBV6-4	TRBJ2-1	TRBC2	PSTV	AB707	0.00044603
TRAV_NA	TRAJ_NA	TRBV18	TRBJ1-2	TRBC1	PSTV	AB708	0.00044603
TRAV_NA	TRAJ_NA	TRBV2	TRBJ1-6	TRBC1	PSTV	AB709	0.00044603
TRAV_NA	TRAJ_NA	TRBV28	TRBJ2-7	TRBC2	PSTV	AB710	0.00044603
TRAV_NA	TRAJ_NA	TRBV28	TRBJ2-3	TRBC2	PSTV	AB711	0.00044603
TRAV_NA	TRAJ_NA	TRBV7-9	TRBJ2-7	TRBC2	PSTV	AB712	0.00044603
